	CO_ANO	CO_MES	SH4	CO_PAIS	SG_UF_MUN	CO_MUN	KG_LIQUIDO	VL_FOB	VALOR AGREGADO
167	2023.0	6.0	207.0	351.0	SP	3457105.0	297000.0	710610.0	2.3926262626262624
168	2023.0	3.0	8708.0	190.0	SP	3448807.0	528.0	39182.0	74.20833333333333
171	2023.0	3.0	3907.0	589.0	SP	3409502.0	7220.0	18122.0	2.5099722991689752
172	2023.0	7.0	709.0	160.0	SP	3448500.0	1161.0	2265.0	1.950904392764858
175	2023.0	10.0	2202.0	158.0	SP	3401905.0	536353.0	432457.0	0.8062917518872832
176	2023.0	7.0	8462.0	687.0	SP	3403208.0	5.0	461.0	92.2
181	2023.0	3.0	3901.0	239.0	SP	3436505.0	445500.0	430307.0	0.9658967452300785
183	2023.0	2.0	8511.0	63.0	SP	3448807.0	20190.0	287830.0	14.256067360079248
189	2023.0	2.0	8708.0	63.0	SP	3456701.0	91784.0	1713883.0	18.673004009413404
193	2023.0	11.0	8433.0	160.0	SP	3452205.0	97.0	799.0	8.237113402061855
195	2023.0	8.0	1512.0	77.0	SP	3448500.0	138.0	609.0	4.413043478260869
196	2023.0	8.0	8428.0	586.0	SP	3448708.0	23438.0	139744.0	5.962283471285946
197	2023.0	10.0	8302.0	63.0	SP	3449904.0	673.0	8527.0	12.670133729569093
200	2023.0	7.0	3402.0	580.0	SP	3423404.0	2400.0	15923.0	6.6345833333333335
205	2023.0	5.0	5911.0	586.0	SP	3456503.0	3152.0	53966.0	17.121192893401016
206	2023.0	10.0	8413.0	521.0	SP	3452205.0	80.0	2243.0	28.0375
207	2023.0	7.0	8512.0	586.0	SP	3452403.0	46.0	7079.0	153.8913043478261
209	2023.0	4.0	2915.0	63.0	SP	3450308.0	7851.0	50147.0	6.387339192459559
210	2023.0	4.0	3305.0	438.0	SP	3450308.0	14247.0	117468.0	8.245104232469993
216	2023.0	4.0	8708.0	345.0	SP	3450308.0	9582.0	82249.0	8.583698601544564
219	2023.0	8.0	2207.0	267.0	SP	3451702.0	4940411.0	3797145.0	0.7685888886572393
222	2023.0	10.0	9004.0	158.0	SP	3448906.0	4.0	150.0	37.5
226	2023.0	3.0	8409.0	63.0	SP	3452205.0	2944.0	51327.0	17.43444293478261
229	2023.0	1.0	8467.0	63.0	SP	3409502.0	43.0	1214.0	28.232558139534884
231	2023.0	4.0	8208.0	890.0	SP	3452205.0	4.0	97.0	24.25
232	2023.0	9.0	806.0	77.0	SP	3448500.0	11.0	58.0	5.2727272727272725
235	2023.0	3.0	8417.0	63.0	SP	3430706.0	15553.0	96248.0	6.188388092329454
238	2023.0	11.0	1005.0	160.0	SP	3450308.0	35396136.0	9911092.0	0.28000491353067464
243	2023.0	7.0	4202.0	607.0	SP	3450308.0	197.0	7127.0	36.17766497461929
244	2023.0	10.0	9506.0	538.0	SP	3447809.0	100.0	3130.0	31.3
247	2023.0	6.0	7326.0	97.0	SP	3452205.0	210.0	3201.0	15.242857142857142
248	2023.0	4.0	8412.0	63.0	SP	3438709.0	427.0	12151.0	28.456674473067917
250	2023.0	7.0	3926.0	169.0	SP	3452205.0	2019.0	17885.0	8.858345715700843
251	2023.0	11.0	4010.0	741.0	SP	3418800.0	15.0	1468.0	97.86666666666666
253	2023.0	4.0	7307.0	580.0	SP	3448500.0	364.0	9468.0	26.01098901098901
254	2023.0	11.0	8703.0	249.0	SP	3450308.0	32811.0	389315.0	11.865380512632958
255	2023.0	9.0	6106.0	249.0	SP	3450308.0	19.0	2994.0	157.57894736842104
256	2023.0	5.0	1602.0	741.0	SP	3448500.0	510.0	2303.0	4.515686274509804
258	2023.0	9.0	9401.0	386.0	SP	3450308.0	100.0	4951.0	49.51
259	2023.0	1.0	3902.0	493.0	SP	3436505.0	120000.0	146971.0	1.2247583333333334
261	2023.0	2.0	3507.0	169.0	SP	3426902.0	200.0	4644.0	23.22
262	2023.0	5.0	206.0	301.0	SP	3448500.0	154.0	759.0	4.928571428571429
267	2023.0	11.0	1211.0	351.0	SP	3448500.0	25.0	185.0	7.4
268	2023.0	6.0	2833.0	586.0	SP	3405708.0	5200.0	14636.0	2.8146153846153847
270	2023.0	3.0	3304.0	69.0	SP	3454805.0	1.0	164.0	164.0
271	2023.0	9.0	7326.0	97.0	SP	3450308.0	3207.0	20730.0	6.463985032740879
275	2023.0	8.0	8523.0	493.0	SP	3448906.0	12.0	680.0	56.666666666666664
278	2023.0	12.0	8479.0	160.0	SP	3434708.0	9074.0	214223.0	23.60844170156491
279	2023.0	11.0	3006.0	158.0	SP	3422505.0	338.0	9521.0	28.168639053254438
280	2023.0	10.0	703.0	467.0	SP	3448500.0	1120.0	2442.0	2.180357142857143
281	2023.0	9.0	6403.0	77.0	SP	3448500.0	6.0	334.0	55.666666666666664
285	2023.0	3.0	7326.0	589.0	SP	3450308.0	1367.0	15907.0	11.636430138990491
286	2023.0	3.0	8542.0	40.0	SP	3409502.0	3.0	5618.0	1872.6666666666667
287	2023.0	2.0	1202.0	548.0	SP	3455000.0	198000.0	264505.0	1.3358838383838383
290	2023.0	8.0	5911.0	845.0	SP	3456206.0	164.0	1558.0	9.5
297	2023.0	8.0	6403.0	69.0	SP	3416200.0	6070.0	200740.0	33.07084019769358
299	2023.0	10.0	206.0	23.0	SP	3448500.0	49.0	198.0	4.040816326530612
306	2023.0	10.0	3208.0	827.0	SP	3409205.0	37312.0	223683.0	5.994934605488851
307	2023.0	11.0	9032.0	244.0	SP	3452502.0	1.0	1609.0	1609.0
308	2023.0	10.0	4009.0	149.0	SP	3452205.0	3.0	148.0	49.333333333333336
310	2023.0	6.0	8302.0	97.0	SP	3416200.0	51.0	1149.0	22.529411764705884
312	2023.0	10.0	7616.0	63.0	SP	3450308.0	1464.0	11195.0	7.646857923497268
314	2023.0	5.0	8483.0	63.0	SP	3420509.0	26936.0	275981.0	10.245804870804871
317	2023.0	11.0	3824.0	63.0	SP	3424006.0	54000.0	119361.0	2.2103888888888887
319	2023.0	3.0	9603.0	169.0	SP	3413009.0	2038.0	66851.0	32.80225711481845
320	2023.0	2.0	3701.0	169.0	SP	3452502.0	15109.0	127081.0	8.41094711761202
322	2023.0	8.0	2710.0	43.0	SP	3448500.0	699275.0	468411.0	0.669852347073755
326	2023.0	6.0	8481.0	249.0	SP	3433908.0	7.0	1088.0	155.42857142857142
331	2023.0	7.0	3301.0	493.0	SP	3454102.0	73.0	14861.0	203.57534246575344
332	2023.0	2.0	8001.0	249.0	SP	3439103.0	100237.0	2442482.0	24.36707004399573
335	2023.0	10.0	8483.0	493.0	SP	3425904.0	301.0	7285.0	24.20265780730897
338	2023.0	9.0	6805.0	586.0	SP	3452403.0	133.0	4755.0	35.75187969924812
341	2023.0	8.0	8536.0	23.0	SP	3448708.0	106.0	5705.0	53.820754716981135
343	2023.0	2.0	8708.0	275.0	SP	3409502.0	117.0	598.0	5.111111111111111
347	2023.0	7.0	3305.0	764.0	SP	3451009.0	89.0	4142.0	46.53932584269663
348	2023.0	7.0	7320.0	493.0	SP	3440002.0	780.0	6481.0	8.308974358974359
350	2023.0	8.0	8501.0	63.0	SP	3409502.0	919.0	20369.0	22.16430903155604
353	2023.0	12.0	7606.0	586.0	SP	3438006.0	42500.0	198981.0	4.681905882352941
355	2023.0	5.0	709.0	580.0	SP	3448500.0	5103.0	9858.0	1.9318048206937095
358	2023.0	10.0	807.0	628.0	SP	3448500.0	340.0	380.0	1.1176470588235294
361	2023.0	1.0	4818.0	97.0	SP	3407605.0	15469.0	40068.0	2.590212683431379
365	2023.0	3.0	801.0	301.0	SP	3448500.0	61.0	81.0	1.3278688524590163
368	2023.0	7.0	8482.0	573.0	SP	3452502.0	77.0	4487.0	58.27272727272727
369	2023.0	10.0	1901.0	169.0	SP	3415004.0	25000.0	50773.0	2.03092
372	2023.0	3.0	2304.0	23.0	SP	3412001.0	139758.0	79831.0	0.5712088037894074
373	2023.0	1.0	8484.0	239.0	SP	3450308.0	411.0	9269.0	22.552311435523116
374	2023.0	5.0	808.0	434.0	SP	3448500.0	3128.0	6187.0	1.9779411764705883
375	2023.0	4.0	8421.0	249.0	SP	3409502.0	3375.0	162109.0	48.032296296296295
376	2023.0	6.0	8536.0	169.0	SP	3416705.0	692.0	1004.0	1.4508670520231215
378	2023.0	9.0	7318.0	776.0	SP	3452205.0	1083.0	10336.0	9.543859649122806
380	2023.0	10.0	2202.0	160.0	SP	3448500.0	42.0	58.0	1.380952380952381
381	2023.0	12.0	3301.0	741.0	SP	3403208.0	27680.0	393252.0	14.207080924855491
382	2023.0	1.0	3402.0	63.0	SP	3424402.0	324020.0	814626.0	2.514122585025616
385	2023.0	9.0	3824.0	493.0	SP	3409502.0	100.0	1060.0	10.6
388	2023.0	8.0	207.0	434.0	SP	3413504.0	187760.0	203293.0	1.0827279505752023
396	2023.0	3.0	3923.0	158.0	SP	3448906.0	127.0	3302.0	26.0
397	2023.0	12.0	8483.0	239.0	SP	3423404.0	149.0	5484.0	36.80536912751678
399	2023.0	9.0	3917.0	158.0	SP	3456701.0	10.0	1463.0	146.3
402	2023.0	1.0	4008.0	586.0	SP	3449904.0	213.0	4465.0	20.962441314553992
